"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 01, 2016","97.697","98.390","98.460","97.620","25.45K","-0.74%"
"Oct 31, 2016","98.422","98.285","98.675","98.275","13.52K","0.08%"
"Oct 28, 2016","98.342","98.905","98.920","98.225","23.97K","-0.54%"
"Oct 27, 2016","98.879","98.600","99.005","98.485","20.81K","0.27%"
"Oct 26, 2016","98.611","98.710","98.815","98.315","22.72K","-0.07%"
"Oct 25, 2016","98.682","98.750","99.090","98.585","23.46K","-0.07%"
"Oct 24, 2016","98.752","98.680","98.825","98.540","15.33K","0.07%"
"Oct 21, 2016","98.686","98.300","98.795","98.300","20.05K","0.38%"
"Oct 20, 2016","98.314","97.885","98.400","97.655","32.38K","0.38%"
"Oct 19, 2016","97.940","97.910","97.975","97.655","17.94K","0.04%"
"Oct 18, 2016","97.897","97.780","97.965","97.600","16.77K","0.02%"
"Oct 17, 2016","97.878","98.120","98.150","97.800","15.36K","-0.12%"
"Oct 14, 2016","97.997","97.630","98.100","97.520","26.26K","0.49%"
"Oct 13, 2016","97.518","98.000","98.120","97.510","28.20K","-0.45%"
"Oct 12, 2016","97.962","97.520","98.050","97.475","31.66K","0.28%"
"Oct 11, 2016","97.692","96.930","97.745","96.930","29.65K","0.78%"
"Oct 10, 2016","96.933","96.520","96.965","96.485","16.36K","0.29%"
"Oct 07, 2016","96.654","96.850","97.215","96.405","49.51K","-0.12%"
"Oct 06, 2016","96.772","96.135","96.785","96.115","26.14K","0.68%"
"Oct 05, 2016","96.114","96.080","96.310","95.940","23.77K","-0.01%"
"Oct 04, 2016","96.125","95.665","96.390","95.660","42.19K","0.56%"
"Oct 03, 2016","95.587","95.435","95.735","95.390","15.63K","0.21%"
"Sep 30, 2016","95.385","95.470","95.895","95.250","32.73K","-0.09%"
"Sep 29, 2016","95.472","95.315","95.625","95.245","16.75K","0.14%"
"Sep 28, 2016","95.336","95.390","95.660","95.285","14.83K","0.03%"
"Sep 27, 2016","95.312","95.250","95.580","95.145","13.88K","0.11%"
"Sep 26, 2016","95.210","95.390","95.445","95.020","10.78K","-0.19%"
"Sep 23, 2016","95.392","95.310","95.605","95.280","16.22K","0.01%"
"Sep 22, 2016","95.381","95.455","95.490","94.950","24.31K","-0.30%"
"Sep 21, 2016","95.665","95.945","96.305","95.320","29.37K","-0.32%"
"Sep 20, 2016","95.976","95.775","95.985","95.525","16.02K","0.22%"
"Sep 19, 2016","95.770","96.030","96.045","95.790","0.67K","-0.35%"
"Sep 16, 2016","96.105","95.260","96.120","95.235","14.90K","0.86%"
"Sep 15, 2016","95.283","95.340","95.560","95.055","15.65K","-0.04%"
"Sep 14, 2016","95.322","95.550","95.660","95.195","29.84K","-0.34%"
"Sep 13, 2016","95.645","95.095","95.675","95.080","25.80K","0.59%"
"Sep 12, 2016","95.088","95.315","95.450","94.925","31.11K","-0.25%"
"Sep 09, 2016","95.328","94.975","95.580","94.820","30.82K","0.29%"
"Sep 08, 2016","95.051","94.990","95.135","94.440","33.16K","0.11%"
