,price_BTC,24% change_BTC,price_chainlink,24% change_chainlink,price_ETH,24% change ETH_ETH,price_ADA,24% change ETH_ADA
2020-02-11,9890.121224019967,-2.61,3.4127266757789747,0.56,224.14699652028605,-1.85,0.060256186685248236,-2.12
2020-02-12,10226.925769215322,3.29,3.971539839574887,14.07,236.78534852972567,5.34,0.06288978799430087,4.19
2020-02-13,10328.897565836414,0.99,4.0044693341874025,0.82,264.03276824299627,10.32,0.06729185193465648,6.54
2020-02-14,10221.260309201634,-1.05,3.8735987009893336,-3.38,267.6704445042514,1.36,0.06836530000108265,1.57
2020-02-15,10320.157140513991,0.96,4.409024880437023,12.14,284.2318914741183,5.83,0.07032856354246741,2.79
2020-02-16,9894.136123789158,-4.31,4.300753400470957,-2.52,263.8999463915962,-7.7,0.06472612654514034,-8.66
2020-02-17,9943.673602578743,0.5,4.498985413890007,4.41,262.1562443168135,-0.67,0.06285710908344452,-2.97
2020-02-18,9723.605026422496,-2.26,4.307158166082311,-4.45,267.9356656159883,2.16,0.06045176130470179,-3.98
2020-02-19,10133.817417084678,4.05,4.535797749770263,5.04,281.9457403055278,4.97,0.06254705922733717,3.35
2020-02-20,9618.409248250406,-5.36,4.371680094887493,-3.75,259.1838037480287,-8.78,0.05818171129947997,-7.5
2020-02-21,9608.16918128246,-0.11,4.266174884971684,-2.47,257.9883953048601,-0.46,0.05777565653662186,-0.7
2020-02-22,9673.011800270346,0.67,4.2817364420447275,0.36,265.1644591338591,2.71,0.05865822848701768,1.5
2020-02-23,9658.606058375473,-0.15,4.097401544819644,-4.5,260.99654013152536,-1.6,0.05839392327180828,-0.45
2020-02-24,9946.716123467522,2.9,4.248606936842866,3.56,274.6312157785517,4.96,0.06073456267572729,3.85
2020-02-25,9670.9608064677,-2.85,3.9170064869256214,-8.47,265.2421912203732,-3.54,0.05935885557530342,-2.32
2020-02-26,9345.342701734848,-3.48,3.5127309087336656,-11.51,248.31738139395102,-6.82,0.05662502391878016,-4.83
2020-02-27,8801.657129472504,-6.18,3.6117474413152535,2.74,224.81050829744677,-10.46,0.05064465595671338,-11.81
2020-02-28,8781.175282202359,-0.23,3.954741798944149,8.67,225.42971511683754,0.27,0.049602674255913366,-2.1
2020-02-29,8717.331431359424,-0.73,4.19211591174518,5.66,227.70528448376498,1.0,0.048926399932164466,-1.38
2020-03-01,8552.989118581636,-1.92,4.078126682900133,-2.8,218.34835692985286,-4.29,0.04736417458731175,-3.3
2020-03-02,8567.802248679225,0.17,3.880965015064567,-5.08,218.93979697447656,0.27,0.046172079440448384,-2.58
2020-03-03,8905.876104262194,3.8,4.227125142761496,8.19,231.67944604592213,5.5,0.048794270674382634,5.37
2020-03-04,8756.718576742549,-1.7,4.573462295621212,7.57,223.96011601810258,-3.45,0.04864811457593409,-0.3
2020-03-05,8758.646993191916,0.02,4.663737998181804,1.94,224.13487737180202,0.08,0.04889845997466285,0.51
2020-03-06,9038.870323233425,3.1,4.682347769184177,0.4,228.0809351016884,1.73,0.0508706766907552,3.88
2020-03-07,9135.84506603321,1.06,4.683860677728218,0.03,244.23846951978683,6.62,0.051380435471976016,0.99
2020-03-08,8902.20195010789,-2.62,4.347690687018586,-7.73,237.38079020191347,-2.89,0.04923996466792674,-4.35
2020-03-09,8041.365538071835,-10.71,4.044218234050518,-7.5,198.81964228768578,-19.4,0.04328449004181886,-13.76
2020-03-10,7921.33200691072,-1.52,4.056847648197706,0.31,200.84687148188746,1.01,0.04161723666032623,-4.01
2020-03-11,7906.731528510632,-0.18,4.079044096558147,0.54,200.74903854851766,-0.05,0.0413982274117634,-0.53
2020-03-12,7935.522040170545,0.36,3.8232672229681817,-6.69,194.21794124025206,-3.36,0.040066910703005464,-3.32
2020-03-13,5142.990459018316,-54.3,1.9744280382744082,-93.64,110.5978978308351,-75.61,0.023715965392713114,-68.94
2020-03-14,5542.819542373153,7.21,2.4253678427287175,18.59,132.57285770180832,16.58,0.028339513929699127,16.31
2020-03-15,5214.189112383918,-6.3,2.1294755948791324,-13.9,123.030844108903,-7.76,0.026047698238738294,-8.8
2020-03-16,5397.93335743919,3.4,2.106229454210574,-1.1,124.60342553062202,1.26,0.026756995277093912,2.65
2020-03-17,5032.501351487721,-7.26,1.789497905028956,-17.7,110.99159845334059,-12.26,0.024346526372750345,-9.9
2020-03-18,5389.41577503409,6.62,1.8889431773011256,5.26,117.21704138518466,5.31,0.025700793838345847,5.27
2020-03-19,5376.280747845438,-0.24,1.9372428316453474,2.49,117.7004246469663,0.41,0.02583792069504759,0.53
2020-03-20,6170.200600237675,12.87,2.2401206810792593,13.52,136.81187578973578,13.97,0.030025358670093035,13.95
2020-03-21,6195.603505257629,0.41,2.249443493760885,0.41,131.96469397290025,-3.67,0.029563156863756747,-1.56
2020-03-22,6145.770891252399,-0.81,2.263956742824706,0.64,131.94321845316688,-0.02,0.02920966660001919,-1.21
2020-03-23,5859.647430299388,-4.88,1.9939609668790377,-13.54,122.5205987665882,-7.69,0.027299338945898356,-7.0
2020-03-24,6456.347485963419,9.24,2.2537383255185985,11.53,135.58865798037067,9.64,0.029350724334646947,6.99
2020-03-25,6730.173782371188,4.07,2.314514463783025,2.63,138.77657127268222,2.3,0.030292189964117498,3.11
2020-03-26,6695.9006183977235,-0.51,2.2617319961228857,-2.33,136.23392142176775,-1.87,0.029553286311834504,-2.5
2020-03-27,6765.56207892991,1.03,2.297931485605132,1.58,138.76693759902926,1.83,0.030279069890362973,2.4
2020-03-28,6397.826328325604,-5.75,2.1314392302379734,-7.81,130.2865618875773,-6.51,0.029051152675985865,-4.23
2020-03-29,6255.000398693634,-2.28,2.138547449562877,0.33,131.42405214081145,0.87,0.029258974440926674,0.71
2020-03-30,5915.337154791903,-5.74,2.022603198671787,-5.73,125.31887451568916,-4.87,0.02813464997437409,-4.0
2020-03-31,6403.141235565223,7.62,2.143747399670718,5.65,132.36373895414985,5.32,0.029919979067588413,5.97
2020-04-01,6421.70541388854,0.29,2.2619145794152304,5.22,133.2364468438201,0.66,0.030115490879317953,0.65
2020-04-02,6640.797666310131,3.3,2.2739973570833687,0.53,136.21638557312852,2.19,0.031124362144469,3.24
2020-04-03,6807.897017890566,2.45,2.2974313760037095,1.02,141.4537053523866,3.7,0.03192383119673622,2.5
2020-04-04,6732.852018394612,-1.11,2.295285721545908,-0.09,141.26154326644877,-0.14,0.03190034091740878,-0.07
2020-04-05,6859.424923721944,1.85,2.3124755688954233,0.74,144.200802681986,2.04,0.032559946978819546,2.03
2020-04-06,6788.048272605917,-1.05,2.2665208688235037,-2.03,142.8508834648482,-0.94,0.03190115589416975,-2.07
2020-04-07,7297.635558289496,6.98,2.526522120061146,10.29,169.85504979336824,15.9,0.03515264045303116,9.25
2020-04-08,7196.782202442051,-1.4,2.7120812411685677,6.84,164.5160197107307,-3.25,0.03517699227028992,0.07
2020-04-09,7342.291601148024,1.98,3.160782287832754,14.2,172.80356826747519,4.8,0.036138737022157766,2.66
2020-04-10,7294.488875121554,-0.66,3.3217648737156886,4.85,170.09510352387568,-1.59,0.0362387493283838,0.28
2020-04-11,6864.694257006497,-6.26,3.210195555047736,-3.48,157.74015800780134,-7.83,0.03355089410257256,-8.01
2020-04-12,6878.781212589853,0.2,3.2913998591202938,2.47,158.32787794181905,0.37,0.03333771592009745,-0.64
2020-04-13,6913.158787469097,0.5,3.4356417616143324,4.2,158.8638257195104,0.34,0.03350282483281884,0.49
2020-04-14,6857.538537511484,-0.81,3.378194187187085,-1.7,156.70135879140688,-1.38,0.033164582986299866,-1.02
2020-04-15,6860.17853570111,0.04,3.250030059620855,-3.94,158.26715118298955,0.99,0.03308764126289459,-0.23
2020-04-16,6629.431738031291,-3.48,3.1313106024759576,-3.79,153.2228636800284,-3.29,0.031854947221113185,-3.87
